2023-02-23T01:49:36.883302Z WARNING - Cannot cast to local parameters.
2023-02-23T01:49:36.883357Z VERBOSE - driver connecting...
2023-02-23T01:49:36.883357Z VERBOSE - driver connected
2023-02-23T01:49:36.883535Z VERBOSE - driver initializing...
2023-02-23T01:49:36.883536Z VERBOSE -    trying to initialize...
2023-02-23T01:49:40.808109Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:40.808124Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:40.808126Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:40.808190Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:40.875453Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:40.875465Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:40.875466Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:40.875522Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:40.942829Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:40.942841Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:40.942843Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:40.942900Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:41.010162Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:41.010173Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:41.010175Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:41.010231Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:41.077581Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:41.077593Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:41.077594Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:41.077651Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:41.144955Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:41.144970Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:41.144973Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:41.145040Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:41.212325Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:41.212336Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:41.212337Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:41.212393Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:41.280025Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:41.280047Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:41.280050Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:41.280139Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:41.347465Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:41.347481Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:41.347484Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:41.347566Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:41.414886Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:41.414897Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:41.414898Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:41.414955Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:41.482323Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:41.482333Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:41.482335Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:41.482391Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:41.549767Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:41.549779Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:41.549781Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:41.549836Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:41.617142Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:41.617151Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:41.617153Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:41.617204Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:41.684451Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
2023-02-23T01:49:41.684460Z DEBUG   - _HandleCallbacks (779) - Update of parameters finished
2023-02-23T01:49:41.684462Z DEBUG   - _HandleCallbacks (829) - Calling callback...
2023-02-23T01:49:41.684516Z DEBUG   - _HandleCallbacks (831) - Callback called
2023-02-23T01:49:41.751796Z DEBUG   - _HandleCallbacks (774) - Entering update of parameters...
